run_id,video,start,end,hoop_config,model,imgsz,confidence,tracker,possession_dist_px,upward_trigger,made_window,hoop_pad
44,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
45,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
46,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
47,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8m.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
48,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
49,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
50,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
51,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
52,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
53,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
54,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
55,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
56,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
57,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
58,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.35,bytetrack.yaml,200.0,-12.0,45,14
59,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8l.pt,1280,0.35,bytetrack.yaml,200.0,-16.0,30,8
60,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.25,bytetrack.yaml,200.0,-8.0,60,20
61,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.25,bytetrack.yaml,200.0,-12.0,45,14
62,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.25,bytetrack.yaml,200.0,-16.0,30,8
63,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.35,bytetrack.yaml,200.0,-8.0,60,20
64,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.35,bytetrack.yaml,200.0,-12.0,45,14
65,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,640,0.35,bytetrack.yaml,200.0,-16.0,30,8
66,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,bytetrack.yaml,200.0,-8.0,60,20
67,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,bytetrack.yaml,200.0,-12.0,45,14
68,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.25,bytetrack.yaml,200.0,-16.0,30,8
69,1v1-mk.mov,374.81,450.89,experiments/demo/hoop_configs/1v1-mk.json,yolov8x.pt,1280,0.35,bytetrack.yaml,200.0,-8.0,60,20
